,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
65,TRUST PROPERTIES,WELLINGTON CBD,WELLINGTON,9016,NZ,"Repairs weren’t responded to in a timely manner, one flatmate had a massive leak after some heavy rains in their room and the property manager had to be reminded to fix it multiple times. 

Property manager was uneducated , asked for us to take photos and submit them for inspections. Also not versed in tenant laws , overcharged for change of tenant form when one of us moved out, and ignored any legislation we asked them to clarify. Would not let us finish the paperwork without paying this charge that they were unable to explain (despite recent legislative changes requiring itemised costs). Also charged for an on site visit between tenants, including mileage  that never happened. 

General manager on the other hand , refunded the overcharge and let us know the property manager had left the company. This was after our tenancy , a shame they didn’t have any oversight of this during.",2,2,4,4,3
66,IRON BRIDGE,AUCKLAND,AUCKLAND,0626,NZ,"Nit picky property managers, excessive and unnecessary cleaning fees on move out, illegal entry to the property without notice.",5,5,3,1,1
67,TANNER,PALMERSTON NORTH,WELLINGTON,4410,NZ,An absolutely lovely gem of a human. Happy to say he’s a friend now that renting his house forces him to join us for bbqs during flat inspections.,5,5,5,5,5
68,DAVID WALMSLEY,WELLINGTON,WELLINGTON,6011,NZ,"One of the cheapest landlords I'd had. The room I was staying in should not have been a room at all, there was water leaking through it and the repairman was is school friend who just did odd jobs and minimal effort fixes. Would not recommend.",1,1,1,5,3
69,CARLTON CO,AUCKLAND,AUCKLAND,1010,NZ,Absolutely useless.,1,3,3,1,1
70,THE RENT SHOP,RICHMOND,NELSON,7020,NZ,We asked for our hot water cylinder to be repaired and we were sent a bill - not our problem. Then we got evicted for no reason a week before Christmas. Total scum who lied to the property owners and treated us like shit,1,1,1,1,1
71,NIGHTINGALE PROPERTIES,WELLINGTON,WELLINGTON,6012,NZ,"One of the other reviews said, ""generic agency"" and I'd agree with that.  Not the worst - and to be honest, if you don't need anything from them...they are probably better than a lot of them out there.  Fairly poor communication (leading to some privacy issues) but once that was sorted it again...was fine.  Have a general lack of interest in property upkeep, but that might be the landlord, rather than the agency.",2,3,5,2,3
72,BARFOOT & THOMPSON TAKAPUNA,AUCKLAND,MARLBOROUGH,0622,NZ,"Not good at communicating and can be very rude when trying to resolve disputes. Insinuated we were being difficult when asking for repairs/issues to be resolved. House not properly cleaned upon move in, mold/dirt present and rubbish/prior tenant's junk left behind for us to deal with. Ignored us when we complained and asked them to sort it. Sorted it ourselves in the end.
Not initially compliant with healthy homes standards despite claiming to be.
Ignored requests for discount/rent adjustment while living in non compliant property. Nothing you can do as you don't want to be blacklisted as tenants so you have to put up with them giving you the run around and behaving badly. Avoid if you have other options open to you.",1,1,2,2,1
73,HARCOURTS,DUNEDIN,OTAGO,9012,NZ,Our toilet was broken for a week and they kept “sending someone out”,1,2,2,3,3
74,SUSHIA TOO,WELLINGTON,WELLINGTON,6021,NZ,Sushia was a nice landlord. She did everything by the book and other than being a bit expensive we didn't have any issues with the apartment. She was also ok with us adding an extra tenant partway through our lease.,5,5,5,5,5
75,FLICK,WELLINGTON,WELLINGTON,6011,NZ,Competent and does the basics but snippy and difficult about anything extra,3,4,4,4,2
76,HARPER PROPERTIES HAMILTON,HAMILTON,AUCKLAND,3204,NZ,"Overall good. They’re really good at getting unimportant things fixed, like sofa or broken TV but our smoke alarm has been broken and ignored for well over a year now. Expensive rent compared to everywhere else but rent hasn’t increased.",5,1,4,5,5
77,ALISON M. PHILLIPS,AUCKLAND,AUCKLAND,6021,NZ,"Alison was a nightmare. I found she had been through my flat without notice while I was at work, taken photos of everything in my home, used the photos to advertise the flat online, and refused to return my bond when I left in order to pay for maintenance she had deferred. She often asked me to pay for minor compliance work (for extinguisher etc) and to send her the receipts so she could reimburse me - she never did. 

She is a nightmare landlord, focused on pinching every penny and treating vulnerable people like revenue meat in damp dark housing she bought for the cost of a sausage roll.",1,1,1,1,1
78,NIGHTINGALE PROPERTIES,WELLINGTON,WELLINGTON,6021,NZ,"Generic agency that performs the bare minimum, but is very difficult and unpleasant to deal with when there are problems in my opinion.",4,4,3,2,1
79,JAMES CHIN,DUNEDIN,OTAGO,9016,NZ,"Worst landlord I have ever had. Cheap, stingy, doesn't do things when asked.

Always expect him to say one thing then do the opposite, he'll shaft you to save a cent.",1,1,2,3,1
80,HINI MAGAN,WELLINGTON,WELLINGTON,6011,NZ,Offers a service with none of the service.,1,1,2,1,1
81,VERNA WOODS,ASHBURTON,CANTERBURY,7700,NZ,Landlord is very overbearing and has no respect for privacy. They do not respect boundaries and will be your worst nightmare.,2,4,3,1,1
82,ALLAN TAYLOR,HIGHLAND PARK,AUCKLAND,2010,NZ,"Don't let him fool you by letting you pay the water bill. It should be a separate meter. As for the water heater, the tenant living downstairs is shouldering the heat cost. And he/she don't follow agreed conversation. They will bully you as it keeps renewing a yearly contract.",2,2,1,1,1
83,CROCKERS PROPERTY MANAGEMENT,AUCKLAND,AUCKLAND,2104,NZ,I haven't had any major issues with the property so the limited interaction with them. But they've always acted professionally and followed the laws.,4,4,5,4,5
84,QUINOVIC,JOHNSONVILLE,WELLINGTON,6037,NZ,"Typical Quinovic. There were cracks in the windows when we moved in. Their way of repairing them was using silicon sealant. Even the handy they paid to do the job said it was ridiculous. 

When we moved out they tried their best to take as much money from the bond as possible. We ended a fixed term early, they tried to say we had to leave the property 5 days before the tenancy ended and we would need to pay rent. This is despite Quinovic having been told by the tenancy tribunal this was not allowed under tenancy law. Absolutely a pain to deal with. 0/10 only use if you have no other choice.",1,2,1,3,1
85,ROB JONES,AUCKLAND,AUCKLAND,1025,NZ,"Rob would not install a heatpump for ~five months after the deadline for rentals needing heatpumps. He dismissed our requests for maintenance to our old villa, including boarding up fireplaces (legal requirement), repairing the roof, and various other minor upkeep that had not been done during the previous tenancy IE broken window during autumn for four weeks before fixing because it was not ""high on his priority list"". The house was freezing, covered in mould, and made us sick to the point we spent $500+ breaking the lease. We had five hospitalizations related to asthma & breathing problems in the 10months we lived in his flat. He also claimed the neighbour's had complained we had too much recycling, when in fact his handyman had made the complaint. Our recycling was clean, covered, and excessive for the bin due to the fact we had six people living in a four bedroom flat to cover the above market rent. We had to pay an illegal subletting fee to break our lease, but it was worth it. Would not recommend any of his multiple rentals.",1,1,3,3,1
